STOCK NAME,TOTAL PERCENT GAIN/LOSS
ACHN,3.8023188405797104
AMBA,12.446190476190479
AMGN,-0.13212499999999933
BAC,1.1912230215827337
BAS,4.763522727272727
BBG,0.008737864077669234
CRK,2.9457823129251715
CSIQ,8.560843373493977
GENE,-5.25595744680851
GLD,1.2118399999999994
JPM,0.12351515151515183
LL,5.508860759493669
MO,2.8471328671328684
MSFT,0.9534558823529413
NFLX,8.841879699248125
OAS,2.1462222222222223
OWW,-1.0804545454545462
REXX,5.024507042253521
ROSE,5.929540229885056
SLCA,10.545483870967743
SPY,0.8842441860465108
TSLA,3.444363636363637
WIN,-1.9048863636363642
X,3.4845751633986937
YELP,9.500666666666667
,
COMBINED AVERAGE: ,3.4316593055107942
